User ID,Day Of Week,,Show,Season,Episode,Time Watched,Gender,Completed,Time of Day,,,
117752,2019/2/12,Tuesday,Stranger Things,2,6,51,Female,1,1,,,
28615,2019/2/12,Tuesday,Stranger Things,2,6,2,Female,0,0,,,
72226,2019/2/12,Tuesday,Stranger Things,2,3,5,Female,0,1,,,
62565,2019/2/9,Saturday,Stranger Things,2,10,59,Female,1,1,,,
3494,2019/2/12,Tuesday,Stranger Things,2,1,33,Female,1,0,,,
17818,2019/2/11,Monday,Stranger Things,1,6,20,Male,0,0,,,
66427,2019/2/10,Sunday,Stranger Things,1,10,29,Female,0,1,,,
35135,2019/2/12,Tuesday,Stranger Things,2,5,27,Female,,0,,,
100055,2019/2/10,Sunday,Stranger Things,1,6,48,Male,,0,,,
80609,2019/2/11,Monday,Stranger Things,2,9,5,Female,,1,,,
108824,2019/2/9,Saturday,Stranger Things,1,4,40,Female,,1,,,
11035,2019/2/12,Tuesday,Stranger Things,2,4,39,Male,,0,,,
56541,2019/2/10,Sunday,Stranger Things,1,1,5,Male,,0,,,
6867,2019/2/11,Monday,Stranger Things,1,1,43,Female,,0,,,
23828,2019/2/10,Sunday,Stranger Things,2,3,12,Female,,0,,,
118833,2019/2/9,Saturday,Stranger Things,2,8,51,Male,,1,,,
111801,2019/2/10,Sunday,Stranger Things,2,10,66,Female,,0,,,
94806,2019/2/12,Tuesday,Stranger Things,2,6,5,Female,,0,,,
54418,2019/2/12,Tuesday,Stranger Things,1,1,30,Female,,0,,,
31996,2019/2/12,Tuesday,Stranger Things,2,6,6,Male,0,0,,,
97717,2019/2/9,Saturday,Stranger Things,2,6,10,Male,0,0,,,
13665,2019/2/12,Tuesday,Stranger Things,1,8,29,Male,0,0,,,
91418,2019/2/11,Monday,Stranger Things,1,8,30,Male,1,1,,,
123401,2019/2/11,Monday,Stranger Things,1,2,42,Female,1,0,,,
11896,2019/2/10,Sunday,Stranger Things,1,2,20,Male,0,0,,,
35588,2019/2/9,Saturday,Stranger Things,2,10,40,Female,1,1,,,
85408,2019/2/12,Tuesday,Stranger Things,2,7,13,Female,0,1,,,
45713,2019/2/11,Monday,Stranger Things,2,4,11,Female,0,0,,,
